"","id","name","fat_value","fat_unit","sugur_value","sugur_unit","protein_value","protein_unit"
"1",45003027,"DOUBLE ACTING BAKING POWDER",0,"g",0,"g",0,"g"
"2",45003102,"GREAT VALUE, LOW CALORIE DRINK MIX, BLUEBERRY BERRY SPLASH",0,"g",66.67,"g",0,"g"
"3",45003770,"MARKETSIDE, PRETZEL HAMBURGER BUNS",1.95,"g",7.79,"g",7.79,"g"
"4",45003771,"CHOCOLATE CARAMEL COOKIE THINS",21.43,"g",39.29,"g",3.57,"g"
"5",45003772,"SAM'S CHOICE, WAFFLE COOKIES, CINNAMON, HONEY",18.75,"g",34.38,"g",3.12,"g"
"6",45003997,"ANGEL HAIR DRY PASTA ENRICHED VERMICELLI PRODUCT",1.79,"g",3.57,"g",12.5,"g"
"7",45004335,"MEMBER'S MARK, CAPPUCCINO BEVERAGE MIX, FRENCH VANILLA",13.16,"g",68.42,"g",5.26,"g"
"8",45004366,"GREAT VALUE, CHUNKY CHICKEN & DUMPINGS SOUP",3.67,"g",0.82,"g",2.86,"g"
"9",45004368,"GREAT VALUE, NEW ENGLAND STYLE CLAM CHOWDER CHUNKY SOUP",3.67,"g",0.41,"g",2.04,"g"
"10",45004671,"CLASSIC SMOOTH GUACAMOLE",16.67,"g",0,"g",3.33,"g"
"11",45004998,"CLASSIC ICEBERG SALAD",0,"g",2.35,"g",1.18,"g"
"12",45005251,"PATTIES",12.5,"g",1.56,"g",3.12,"g"
"13",45005252,"GREAT VALUE, SNICKERDOODLE COOKIES",20.51,"g",30.77,"g",2.56,"g"
"14",45005256,"GREAT VALUE, LOWFAT YOGURT, VANILLA",0.88,"g",14.12,"g",2.94,"g"
"15",45005261,"GREAT VALUE, FULLY COOKED NATURAL HARDWOOD SMOKED BACON",41.67,"g",0,"g",25,"g"
"16",45005262,"GREAT VALUE, BUTTERMILK WAFFLES",8.57,"g",2.86,"g",5.71,"g"
"17",45005277,"GREAT VALUE, CORN FLAKES CEREAL",0,"g",7.14,"g",7.14,"g"
"18",45005281,"STRAWBERRY PREESERVES",0,"g",0,"g",0,"g"
"19",45005335,"DELUXE AMERICAN PASTEURIZED PROCESS AMERICAN CHEESE",31.58,"g",5.26,"g",15.79,"g"
"20",45005358,"LOWFAT YOGURT",0.89,"g",14.67,"g",2.67,"g"
"21",45005364,"GREAT VALUE, LOWFAT YOGURT, RASPBERRY",0.88,"g",14.12,"g",2.94,"g"
"22",45005374,"GREAT VALUE, FINELY SHREDDED FIESTA BLEND CHEESE",32.14,"g",0,"g",25,"g"
