name,ingredient_id,protein,protein_unit,fat,fat_unit,sugar,sugar_unit
1% milk,1,3.39,g,1.06,g,5.08,g
85% dark chocolate,2,9.52,g,50,g,14.29,g
active yeast,3,40,g,5,g,0,g
adobo seasoning to taste,4,0,g,0,g,0,g
all purpose flour,5,10,g,0,g,3.33,g
allspice,6,0,g,0,g,0,g
almond butter,7,20,g,56.67,g,6.67,g
almond extract,8,0,g,0,g,0,g
almond flour,9,21.43,g,50,g,3.57,g
almonds,10,17.86,g,46.43,g,17.86,g
amaretto liqueur,11,5.08,g,8.47,g,8.47,g
anise extract,12,0,g,0,g,0,g
apple,13,0,g,0.65,g,10.39,g
apple cider,14,0,g,0,g,75,g
apple cider vinegar,15,0,g,0,g,44.44,g
apple schnapps,16,0,g,0.65,g,10.39,g
apples,17,0,g,0,g,10.39,g
apricots,18,2.5,g,0,g,52.5,g
avocado,19,0,g,15.38,g,0,g
avocado oil,20,0,g,93.33,g,0,g
baby bella mushrooms,21,3.53,g,0,g,0,g
baby carrots,22,1.18,g,0,g,5.88,g
bacon,23,33.33,g,33.33,g,0,g
baguette,24,10,g,0,g,2,g
baking apples,25,0,g,0,g,10.39,g
baking powder,26,0,g,0,g,0,g
baking soda,27,0,g,0,g,0,g
ball water mozzarella cheese,28,0,g,0,g,0,g
balsamic vinaigrette dressing,29,0,g,23.33,g,20,g
balsamic vinegar,30,0,g,0,g,13.33,g
bamboo skewers,31,3.53,g,0,g,2.35,g
bananas,32,5,g,22.5,g,42.5,g
basil,33,4,g,0,g,0,g
bay,34,0,g,0,g,31.43,g
bay or more to taste,35,19.47,g,0.88,g,0,g
beef,36,18.87,g,2.83,g,0,g
beef broth,37,0.83,g,0,g,0,g
beef chuck,38,15.23,g,17.22,g,0.66,g
beef sirloin,39,21.43,g,4.46,g,0,g
beer,40,0,g,0,g,13.24,g
bell pepper,41,1.18,g,0,g,2.35,g
Bibb or head lettuce leaves,42,9.89,g,3.53,g,2.12,g
black beans,43,22,g,0,g,2,g
Black decorating gel,44,0,g,0,g,50,g
black eyed peas,45,3.85,g,0,g,1.54,g
black olives,46,0,g,13.33,g,0,g
black pepper,47,6.67,g,8.33,g,0,g
