recipe_id,amount,unit,name,ingredient_id
10038,1,cups,butter,
10038,0.75,cups,cornstarch,
10038,0.333333333,cups,confectioners' sugar,
10038,1,cups,all purpose flour,
10038,3,ounces,cream cheese,
10038,1,cups,confectioners' sugar,
10038,1,teaspoons,vanilla extract,
10038,3,drops,red food coloring,
10091,2,cups,white sugar,
10091,1,cups,shortening,
10091,1,tablespoons,vanilla extract,
10091,1,teaspoons,almond extract,
10091,2,,eggs,
10091,6,cups,all purpose flour,
10091,1,teaspoons,baking soda,
10091,1,teaspoons,baking powder,
10091,1,teaspoons,salt,
10091,1,cups,milk,
10405,1,packages,lemon cake mix,
10405,1,containers,whipped topping,
10405,1,,eggs,
10405,2,cups,confectioners' sugar,
10682,0.5,cups,butter,
10682,0.75,cups,white sugar,
10682,1,,egg,
10682,1.333333333,cups,all purpose flour,
10682,0.5,teaspoons,salt,
10682,0.5,teaspoons,baking soda,
10682,0.5,teaspoons,vanilla extract,
10682,2,,mini chocolate coated peanut nougat candy eg: Baby Ruth TM,
10837,1.25,cups,unsalted butter,
10837,2,,eggs,
10837,1,teaspoons,vanilla extract,
10837,1.75,cups,all purpose flour,
10837,1,teaspoons,baking soda,
10837,1,teaspoons,salt,
10837,0.75,cups,white sugar,
10837,0.75,cups,brown sugar,
10837,1.5,cups,white chocolate chips,
10837,1.5,cups,milk chocolate chips,
10837,1.5,cups,semi sweet chocolate chips,
10837,1,cups,walnuts,
10888,1,cups,confectioners' sugar,
10888,1,cups,coconut,
10888,1.5,tablespoons,cream,
10888,2,tablespoons,cinnamon,
10891,2,cups,all purpose flour,
10891,1,teaspoons,baking soda,
10891,1,cups,butter flavored shortening,
10891,1,cups,white sugar,
10891,0.5,cups,brown sugar,
10891,1,teaspoons,vanilla extract,
10891,2,,eggs,
10891,1.666666667,cups,peanut butter chips,
11058,0.5,cups,butter,
11058,0.5,cups,shortening,
11058,1,teaspoons,vanilla extract,
11058,4,cups,confectioners' sugar,
11058,2,tablespoons,milk,
11159,0.666666667,cups,shortening,
11159,0.666666667,cups,white sugar,
11159,2,,eggs,
11159,1,teaspoons,vanilla extract,
11159,0.5,teaspoons,baking powder,
11159,0.5,teaspoons,salt,
11159,1,packages,instant banana pudding,
11159,2.5,cups,all purpose flour,
11448,0.5,cups,shortening,
11448,0.75,cups,white sugar,
11448,1,,eggs,
11448,0.5,teaspoons,almond extract,
11448,1,cups,all purpose flour,
11448,0.5,teaspoons,baking powder,
11448,0.5,teaspoons,salt,
11448,1,cups,semi sweet chocolate chips,
11448,0.75,cups,coconut,
11448,0.75,cups,candied cherries,
11921,1,packages,lasagna noodles,
11921,1.5,tablespoons,olive oil,
11921,1,,onion,
11921,1,,carrot,
11921,1,stalks,celery,
11921,0.75,pounds,mushrooms,
11921,2,,cloves garlic,
11921,0.5,cups,white wine,
11921,1,cans,tomatoes,
11921,2,,sun tomatoes,
11921,1,teaspoons,thyme,
11921,0,,salt to taste,
11921,0,,black pepper to taste,
11921,0.333333333,cups,all purpose flour,
11921,3,cups,whipping cream,
11921,0.25,teaspoons,nutmeg,
11921,1,pinches,salt,
11921,8,cups,spinach,
11921,1,cups,Parmesan cheese,
12702,2,tablespoons,vegetable oil,
12702,3,,cloves garlic,
12702,1,,onion,
12702,2,pounds,squid,
12702,0.5,,pineapple,
12702,4,stalks,celery,
12702,4,tablespoons,fish sauce,
12702,1,teaspoons,white sugar,
12702,1,teaspoons,black pepper,
