recipe_id,ingredient_id,ingredient_type,ingredient_amount,ingredient_unit
10405,45060198,recipe extra,1,containers
10837,45344930,nut,1,cups
11058,45005745,cooking fat,0.5,cups
12039,45230068,vegetable,1,cans
13062,45267177,dairy,0.25,cups
16390,45349777,spice or herb,0.25,cups
16608,45152727,vegetable,5,cups
16937,45211512,main protein,1,packages
18090,45183830,fish,0.5,pounds
18090,45077400,grain,2,cups
18343,45030864,sauce,3,tablespoons
19252,45064408,grain,3,cups
19489,45349840,condiment,1.5,tablespoons
19515,45266661,fish,2,pounds
19519,45237453,vegetable,6,cups
25829,45033022,baking ingredient,1,teaspoons
30115,45349659,cheese,1.5,cups
30115,45184655,meat,1,packages
30115,45058104,sauce,1,jars
38931,45282676,sugar,1,cups
42486,45254443,meat,8,strips
156791,45056521,vegetable,1,cans
160139,45056365,vegetable,2,cups
160139,45082198,spice or herb,1,teaspoons
165843,45324340,main protein,2,cups
165947,45183903,fruit,2,cups
167042,45064583,cheese,1,cups
167538,45219594,main protein,1,cans
167767,45324075,cheese,0.5,cups
169097,45267881,fruit,0.5,cups
169097,45224395,soup,0.5,cups
171917,45211483,grain,0.5,cups
172503,45152760,sugar,1,packages
172891,45191608,nut,0.25,cups
172891,45165111,nut,0.25,cups
172891,45360795,grain,8,cups
174386,45060247,vegetable,1.25,cups
177535,45349631,cheese,16,ounces
181207,45208764,sugar,1,packages
182059,45031920,grain,1,packages
185109,45331917,spice or herb,0.25,teaspoons
185109,45224636,soup,0.25,cups
193831,45226079,baking ingredient,6,
218480,45238128,drink,2,tablespoons
218480,45064414,meat,2,tablespoons
222434,45361738,fruit,0.5,cups
255726,45280546,nut,1,
259055,45336502,recipe extra,0,
259055,45080831,nut,0.5,cups
259757,45238130,cooking liquid,0.25,cups
261095,45219556,grain,3,cups
265822,45140253,main protein,1,tablespoons
268021,45226156,vegetable,1,packages
268116,45057865,vegetable,3,tablespoons
268131,45277805,fruit,3,
268131,45348665,meat,4,
268135,45105483,condiment,2,tablespoons
268148,45200524,vegetable,0.25,cups
268148,45137971,condiment,3,tablespoons
268187,45009665,vegetable,2,cups
268187,45348681,poultry,4,
268223,45238234,vegetable,0.25,cups
268231,45079943,condiment,1,teaspoons
268253,45208714,grain,0.333333333,cups
268324,45233959,soup,2,quarts
268339,45060249,cooking liquid,2,tablespoons
268353,45239915,fat and vitamins,1,cans
268353,45082196,fat and vitamins,2,cans
268354,45325683,meat,1,pounds
268401,45226061,fruit,1,cups
268420,45331354,soup,2,teaspoons
268426,45198699,condiment,2,teaspoons
268433,45091873,fat and vitamins,1,packages
268462,45238233,vegetable,0.25,cups
